customer_id,tenure_months,contract_type,internet_service,payment_method,monthly_charges,total_charges,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,churn,satisfaction_score,account_creation_date,last_activity_date,customer_segment,risk_tier
CUS0000019,2,One Year,No Internet,Bank Transfer (Automatic),45.86,90.93,1,0,1,0,0,1,1,4.8,2024-11-02,2025-01-01,New,High
CUS0000020,5,Month-to-Month,Fiber Optic,Electronic Check,80.91,420.74,1,0,0,1,0,0,1,7.2,2024-08-02,2024-12-30,New,Critical
CUS0000021,4,Month-to-Month,DSL,Electronic Check,64.89,248.53,0,0,0,0,0,1,0,7.7,2024-09-02,2024-12-26,New,Critical
CUS0000022,1,One Year,No Internet,Electronic Check,66.14,68.93,0,0,0,1,0,0,0,7.1,2024-12-02,2024-12-25,New,High
CUS0000023,7,One Year,DSL,Electronic Check,71.58,477.4,0,0,1,0,0,0,1,5.7,2024-06-02,2024-12-16,New,High
CUS0000024,11,One Year,Fiber Optic,Electronic Check,115.53,1278.79,1,0,0,0,1,1,1,4.1,2024-02-02,2024-12-13,New,Critical
CUS0000025,5,Month-to-Month,DSL,Bank Transfer (Automatic),64.74,325.48,0,0,0,1,1,0,0,7.3,2024-08-02,2025-01-01,New,High
CUS0000026,1,Month-to-Month,DSL,Credit Card (Automatic),68.41,69.36,0,0,0,0,1,1,1,2.3,2024-12-02,2024-12-15,New,High
CUS0000027,11,One Year,DSL,Bank Transfer (Automatic),69.23,725.71,0,1,0,0,1,1,0,7.4,2024-02-02,2024-12-26,New,High
CUS0000028,4,Two Year,DSL,Electronic Check,57.04,228.86,0,1,1,1,0,0,0,8.8,2024-09-02,2024-12-10,New,Medium
CUS0000029,0,One Year,Fiber Optic,Credit Card (Automatic),107.53,0.0,1,0,0,0,1,1,0,7.5,2025-01-01,2024-12-12,New,High
CUS0000030,11,Two Year,Fiber Optic,Bank Transfer (Automatic),115.73,1229.24,1,0,1,0,1,0,0,6.3,2024-02-02,2024-12-10,New,High
CUS0000031,9,Two Year,Fiber Optic,Mailed Check,102.79,898.78,0,1,1,0,1,1,1,5.3,2024-04-03,2024-12-15,New,High
CUS0000032,5,One Year,Fiber Optic,Mailed Check,95.5,482.9,0,1,1,0,0,0,1,5.4,2024-08-02,2024-12-19,New,High
CUS0000033,12,One Year,DSL,Credit Card (Automatic),72.67,862.46,0,1,0,0,0,0,0,7.7,2024-01-02,2024-12-25,New,Medium
CUS0000034,11,Two Year,Fiber Optic,Credit Card (Automatic),97.08,1023.6,0,1,0,0,0,0,0,8.2,2024-02-02,2024-12-18,New,High
CUS0000035,8,One Year,No Internet,Electronic Check,46.1,361.02,0,0,1,0,0,1,1,4.7,2024-05-03,2024-12-14,New,High
CUS0000036,0,Two Year,Fiber Optic,Electronic Check,112.86,0.0,1,0,0,0,0,1,0,6.2,2025-01-01,2024-12-24,New,High
CUS0000037,10,One Year,DSL,Credit Card (Automatic),46.19,469.48,0,0,1,1,1,1,0,7.6,2024-03-03,2024-12-07,New,High
CUS0000038,10,One Year,No Internet,Bank Transfer (Automatic),48.9,491.81,0,0,0,0,1,1,0,7.5,2024-03-03,2024-12-05,New,High
CUS0000039,9,Month-to-Month,No Internet,Bank Transfer (Automatic),59.84,533.59,0,0,0,1,1,0,0,8.3,2024-04-03,2025-01-01,New,High
CUS0000040,11,Month-to-Month,No Internet,Credit Card (Automatic),53.46,613.21,0,1,1,0,0,0,0,7.4,2024-02-02,2024-12-08,New,High
CUS0000041,11,Two Year,DSL,Credit Card (Automatic),54.53,600.95,0,1,1,1,0,1,0,7.4,2024-02-02,2024-12-07,New,Medium
CUS0000042,2,One Year,Fiber Optic,Electronic Check,97.99,203.57,1,1,1,0,1,0,1,4.8,2024-11-02,2024-12-27,New,High
CUS0000043,11,One Year,No Internet,Electronic Check,67.83,752.03,0,0,0,0,1,1,0,8.3,2024-02-02,2024-12-10,New,High
CUS0000044,6,Two Year,No Internet,Electronic Check,49.19,291.5,1,1,1,0,0,0,0,9.2,2024-07-03,2024-12-19,New,Medium
CUS0000045,3,One Year,No Internet,Credit Card (Automatic),50.76,152.87,1,1,0,0,0,0,1,5.4,2024-10-02,2024-12-22,New,Medium
CUS0000046,8,Month-to-Month,DSL,Bank Transfer (Automatic),56.65,437.42,1,1,1,1,1,1,0,6.0,2024-05-03,2024-12-24,New,High
CUS0000047,2,One Year,DSL,Mailed Check,48.37,98.43,0,1,1,0,0,1,1,7.1,2024-11-02,2024-12-28,New,High
CUS0000048,4,One Year,Fiber Optic,Credit Card (Automatic),64.17,269.06,0,0,0,0,1,0,1,5.6,2024-09-02,2024-12-26,New,High
CUS0000049,2,Month-to-Month,DSL,Electronic Check,54.8,106.83,0,0,0,0,1,0,0,8.5,2024-11-02,2024-12-02,New,Critical
CUS0000050,6,Month-to-Month,Fiber Optic,Electronic Check,107.02,630.77,0,0,0,1,1,0,0,8.0,2024-07-03,2024-12-08,New,Critical
CUS0000051,4,Month-to-Month,Fiber Optic,Bank Transfer (Automatic),93.51,370.53,0,0,0,1,1,1,0,5.7,2024-09-02,2024-12-22,New,Critical
CUS0000052,8,Month-to-Month,DSL,Mailed Check,56.69,452.77,0,1,0,1,0,1,0,7.8,2024-05-03,2024-12-29,New,High
CUS0000053,6,Month-to-Month,DSL,Electronic Check,52.62,322.64,0,0,0,1,1,0,0,8.4,2024-07-03,2024-12-30,New,Critical
CUS0000054,1,Month-to-Month,Fiber Optic,Credit Card (Automatic),87.4,84.22,1,0,1,1,1,1,0,9.4,2024-12-02,2024-12-20,New,High
CUS0000055,3,Month-to-Month,No Internet,Electronic Check,54.03,158.89,1,1,1,1,1,0,0,9.1,2024-10-02,2024-12-29,New,High
CUS0000056,8,Month-to-Month,No Internet,Electronic Check,60.21,483.54,0,1,0,0,0,0,0,6.5,2024-05-03,2024-12-21,New,Critical
CUS0000057,11,Month-to-Month,DSL,Mailed Check,70.7,784.67,0,1,0,0,1,0,1,5.9,2024-02-02,2024-12-05,New,High
CUS0000058,1,One Year,DSL,Electronic Check,73.61,73.88,0,1,0,0,0,1,1,6.0,2024-12-02,2024-12-21,New,High
CUS0000059,9,Two Year,No Internet,Credit Card (Automatic),49.33,441.11,0,1,1,0,0,0,0,4.4,2024-04-03,2024-12-13,New,Medium
CUS0000060,8,One Year,Fiber Optic,Electronic Check,111.02,906.94,0,1,1,0,1,1,0,7.2,2024-05-03,2024-12-24,New,Critical
CUS0000061,9,Month-to-Month,DSL,Credit Card (Automatic),82.81,723.26,0,1,1,0,0,0,0,8.3,2024-04-03,2024-12-07,New,Critical
CUS0000062,4,Month-to-Month,Fiber Optic,Credit Card (Automatic),87.42,342.08,1,1,1,0,0,0,0,6.6,2024-09-02,2024-12-31,New,High
CUS0000063,1,Month-to-Month,Fiber Optic,Mailed Check,139.61,138.83,1,1,0,0,0,0,0,9.1,2024-12-02,2024-12-09,New,High
CUS0000064,3,Month-to-Month,DSL,Electronic Check,74.84,228.91,1,0,1,0,0,1,0,9.4,2024-10-02,2024-12-18,New,Critical
CUS0000065,11,Month-to-Month,DSL,Electronic Check,52.84,556.96,1,1,0,1,0,0,0,7.9,2024-02-02,2024-12-15,New,High
CUS0000066,11,Month-to-Month,Fiber Optic,Bank Transfer (Automatic),130.77,1383.19,1,1,1,0,0,0,1,3.4,2024-02-02,2024-12-29,New,High
CUS0000067,6,Month-to-Month,Fiber Optic,Electronic Check,110.82,683.7,0,0,1,1,0,0,1,5.2,2024-07-03,2024-12-03,New,Critical
CUS0000068,11,Two Year,DSL,Credit Card (Automatic),56.85,610.4,0,1,0,0,1,0,0,7.8,2024-02-02,2024-12-20,New,Medium
CUS0000069,12,Month-to-Month,DSL,Bank Transfer (Automatic),72.4,909.07,0,0,0,0,1,1,0,9.0,2024-01-02,2024-12-30,New,High
CUS0000070,7,Month-to-Month,DSL,Electronic Check,90.95,666.03,1,0,0,0,0,1,1,5.5,2024-06-02,2024-12-15,New,Critical
CUS0000071,2,Two Year,Fiber Optic,Credit Card (Automatic),92.15,187.73,1,1,0,0,1,1,0,7.8,2024-11-02,2024-12-23,New,Medium
CUS0000072,0,Month-to-Month,DSL,Credit Card (Automatic),54.06,0.0,0,0,0,0,1,1,0,8.2,2025-01-01,2024-12-06,New,High
CUS0000073,3,Month-to-Month,Fiber Optic,Mailed Check,74.47,226.78,1,0,1,0,0,0,1,7.0,2024-10-02,2024-12-12,New,High
CUS0000074,1,One Year,Fiber Optic,Bank Transfer (Automatic),79.31,76.75,0,1,1,0,0,0,0,6.1,2024-12-02,2024-12-13,New,High
CUS0000075,7,One Year,DSL,Electronic Check,68.83,481.83,0,0,1,0,0,1,1,9.7,2024-06-02,2024-12-04,New,High
CUS0000076,3,One Year,DSL,Electronic Check,83.06,256.48,0,0,0,1,1,1,0,6.2,2024-10-02,2024-12-05,New,Critical
CUS0000077,1,Month-to-Month,Fiber Optic,Electronic Check,115.2,118.36,0,0,1,0,1,1,1,7.0,2024-12-02,2024-12-21,New,Critical
CUS0000078,5,Month-to-Month,Fiber Optic,Electronic Check,128.72,669.26,1,1,1,0,0,0,1,6.1,2024-08-02,2024-12-14,New,Critical
CUS0000079,5,Month-to-Month,DSL,Mailed Check,50.99,265.17,0,0,0,0,1,0,1,2.6,2024-08-02,2024-12-26,New,High
CUS0000080,9,Month-to-Month,Fiber Optic,Electronic Check,109.94,965.86,0,0,1,0,0,1,1,5.0,2024-04-03,2024-12-10,New,Critical
CUS0000081,3,Two Year,Fiber Optic,Electronic Check,112.39,344.65,0,0,1,0,1,1,0,7.8,2024-10-02,2024-12-30,New,High
CUS0000082,5,One Year,Fiber Optic,Electronic Check,93.63,475.23,1,0,1,1,1,1,0,7.6,2024-08-02,2024-12-31,New,High
CUS0000083,12,Month-to-Month,Fiber Optic,Electronic Check,100.59,1253.65,0,1,1,0,0,0,0,8.7,2024-01-02,2024-12-11,New,Critical
CUS0000084,1,One Year,Fiber Optic,Electronic Check,113.94,110.33,0,1,1,0,0,0,0,3.9,2024-12-02,2024-12-25,New,Critical
CUS0000085,9,Month-to-Month,No Internet,Bank Transfer (Automatic),32.82,302.46,1,1,0,1,1,1,0,4.6,2024-04-03,2024-12-08,New,High
CUS0000086,11,Two Year,DSL,Bank Transfer (Automatic),52.54,573.51,0,1,0,1,1,0,1,5.6,2024-02-02,2024-12-23,New,Medium
CUS0000087,1,Month-to-Month,DSL,Electronic Check,44.03,43.57,0,1,0,0,1,0,0,6.7,2024-12-02,2024-12-30,New,Critical
CUS0000088,9,Month-to-Month,DSL,Electronic Check,70.23,602.73,0,0,0,0,1,0,1,4.6,2024-04-03,2024-12-05,New,Critical
CUS0000089,3,Month-to-Month,DSL,Credit Card (Automatic),64.17,201.39,0,0,0,1,1,0,1,7.0,2024-10-02,2024-12-25,New,High
CUS0000090,7,One Year,No Internet,Bank Transfer (Automatic),61.42,437.5,1,0,0,0,0,1,0,6.8,2024-06-02,2024-12-05,New,High
CUS0000091,6,One Year,DSL,Electronic Check,61.7,373.56,0,0,0,1,1,0,0,6.7,2024-07-03,2024-12-29,New,High
CUS0000092,11,Month-to-Month,Fiber Optic,Mailed Check,119.04,1276.86,0,1,0,1,0,0,0,10.0,2024-02-02,2024-12-20,New,High
CUS0000093,8,Month-to-Month,DSL,Bank Transfer (Automatic),70.75,574.97,0,0,1,0,1,1,0,5.3,2024-05-03,2024-12-24,New,High
CUS0000094,7,Month-to-Month,Fiber Optic,Bank Transfer (Automatic),128.52,939.73,1,1,1,0,1,0,0,7.9,2024-06-02,2024-12-18,New,High
CUS0000095,4,Month-to-Month,DSL,Mailed Check,46.27,178.85,0,1,0,0,1,1,1,6.3,2024-09-02,2024-12-12,New,High
CUS0000096,12,Two Year,DSL,Bank Transfer (Automatic),87.66,1102.81,1,1,0,1,1,1,0,7.5,2024-01-02,2024-12-06,New,Medium
CUS0000097,1,Month-to-Month,No Internet,Credit Card (Automatic),59.19,58.76,1,0,1,1,1,0,0,8.0,2024-12-02,2024-12-21,New,High
CUS0000098,4,Month-to-Month,DSL,Mailed Check,40.73,170.71,0,1,0,0,0,1,0,6.2,2024-09-02,2024-12-27,New,High
CUS0000099,7,One Year,Fiber Optic,Electronic Check,107.19,760.37,1,0,0,1,1,1,1,4.5,2024-06-02,2024-12-21,New,High
CUS0000100,9,Month-to-Month,Fiber Optic,Mailed Check,98.75,873.12,0,0,1,0,0,0,1,4.1,2024-04-03,2024-12-21,New,Critical
CUS0000101,8,One Year,Fiber Optic,Electronic Check,99.5,786.01,0,0,0,0,0,0,1,3.8,2024-05-03,2024-12-26,New,Critical
CUS0000102,11,Two Year,Fiber Optic,Electronic Check,121.04,1303.55,1,0,0,1,0,0,0,7.9,2024-02-02,2024-12-11,New,High
CUS0000103,11,Month-to-Month,Fiber Optic,Credit Card (Automatic),60.38,653.21,1,0,0,0,1,0,0,5.1,2024-02-02,2024-12-24,New,High
CUS0000104,11,Two Year,Fiber Optic,Mailed Check,75.28,840.21,1,1,0,1,1,1,0,5.5,2024-02-02,2024-12-10,New,Medium
CUS0000105,12,One Year,Fiber Optic,Credit Card (Automatic),74.97,856.15,0,1,1,0,0,0,0,4.5,2024-01-02,2024-12-03,New,Medium
CUS0000106,8,Month-to-Month,No Internet,Electronic Check,36.85,308.59,0,0,1,1,0,1,0,6.7,2024-05-03,2024-12-11,New,Critical
CUS0000107,12,Month-to-Month,Fiber Optic,Bank Transfer (Automatic),103.42,1274.37,1,0,0,0,0,0,1,6.7,2024-01-02,2024-12-12,New,High
CUS0000108,12,Month-to-Month,Fiber Optic,Bank Transfer (Automatic),124.29,1557.26,0,0,0,0,0,1,1,4.3,2024-01-02,2024-12-30,New,High
CUS0000109,0,One Year,Fiber Optic,Electronic Check,122.72,0.0,0,0,1,1,0,0,1,5.5,2025-01-01,2024-12-13,New,Critical
CUS0000110,8,One Year,DSL,Mailed Check,61.03,487.31,0,1,0,1,0,1,0,7.2,2024-05-03,2024-12-12,New,Medium
CUS0000111,6,Two Year,Fiber Optic,Electronic Check,131.64,765.33,1,0,1,1,0,0,0,10.0,2024-07-03,2024-12-27,New,High
CUS0000112,8,Two Year,DSL,Electronic Check,64.07,513.4,1,1,0,0,1,0,1,4.6,2024-05-03,2024-12-15,New,Medium
CUS0000113,7,One Year,Fiber Optic,Electronic Check,67.92,485.5,0,1,0,1,0,0,0,9.5,2024-06-02,2024-12-09,New,High
CUS0000114,0,One Year,DSL,Bank Transfer (Automatic),79.87,0.0,0,0,0,1,1,0,0,7.6,2025-01-01,2024-12-25,New,High
CUS0000115,11,Month-to-Month,No Internet,Credit Card (Automatic),58.34,630.45,1,0,1,0,0,1,0,8.0,2024-02-02,2024-12-27,New,High
CUS0000116,7,Month-to-Month,Fiber Optic,Electronic Check,107.48,753.15,1,0,0,0,0,0,1,5.6,2024-06-02,2024-12-18,New,Critical
CUS0000117,7,Month-to-Month,Fiber Optic,Credit Card (Automatic),125.02,885.64,1,0,1,1,0,0,0,10.0,2024-06-02,2024-12-20,New,High
CUS0000118,10,One Year,DSL,Electronic Check,74.53,751.9,0,0,0,0,1,0,0,10.0,2024-03-03,2024-12-24,New,High
CUS0000119,2,Month-to-Month,DSL,Bank Transfer (Automatic),69.25,132.3,0,1,1,0,0,0,0,7.3,2024-11-02,2024-12-03,New,High
CUS0000120,0,Month-to-Month,DSL,Credit Card (Automatic),63.8,0.0,0,0,0,0,0,0,1,4.8,2025-01-01,2024-12-12,New,High
CUS0000121,7,Month-to-Month,DSL,Electronic Check,53.56,386.51,0,0,0,0,0,1,0,5.0,2024-06-02,2024-12-10,New,Critical
CUS0000122,2,Month-to-Month,DSL,Bank Transfer (Automatic),81.16,167.23,1,0,0,0,1,0,1,5.1,2024-11-02,2024-12-15,New,Critical
CUS0000123,2,One Year,DSL,Credit Card (Automatic),55.18,110.44,0,0,0,1,1,1,0,10.0,2024-11-02,2024-12-25,New,High
CUS0000124,0,Month-to-Month,Fiber Optic,Bank Transfer (Automatic),70.1,0.0,1,1,1,1,0,1,0,9.3,2025-01-01,2024-12-11,New,High
CUS0000125,10,One Year,Fiber Optic,Bank Transfer (Automatic),124.0,1280.45,0,1,1,1,1,1,0,8.1,2024-03-03,2024-12-22,New,High
CUS0000126,4,Month-to-Month,DSL,Credit Card (Automatic),86.3,353.39,0,0,1,0,1,1,0,5.0,2024-09-02,2024-12-06,New,Critical
CUS0000127,9,One Year,No Internet,Mailed Check,34.6,311.89,0,1,0,0,1,0,1,4.9,2024-04-03,2024-12-08,New,High
CUS0000128,6,Month-to-Month,No Internet,Electronic Check,55.02,333.11,0,0,0,1,1,1,1,3.6,2024-07-03,2024-12-08,New,Critical
CUS0000129,9,Month-to-Month,No Internet,Credit Card (Automatic),32.04,280.38,1,0,1,0,1,0,0,6.4,2024-04-03,2024-12-31,New,High
CUS0000130,8,One Year,DSL,Electronic Check,55.5,445.44,0,0,0,0,1,0,1,4.5,2024-05-03,2024-12-25,New,High
CUS0000131,11,Month-to-Month,DSL,Electronic Check,91.2,1005.81,1,0,0,0,1,0,0,8.3,2024-02-02,2024-12-06,New,Critical
CUS0000132,6,Month-to-Month,DSL,Electronic Check,53.69,312.56,0,1,0,1,0,1,0,9.0,2024-07-03,2024-12-31,New,High
CUS0000133,8,Month-to-Month,Fiber Optic,Mailed Check,100.43,839.69,0,0,0,1,1,0,1,6.1,2024-05-03,2024-12-07,New,Critical
CUS0000134,7,Month-to-Month,DSL,Bank Transfer (Automatic),73.04,498.23,0,0,1,1,0,1,0,8.0,2024-06-02,2024-12-22,New,High
CUS0000135,11,Month-to-Month,Fiber Optic,Electronic Check,108.04,1141.4,1,0,0,0,1,0,1,7.5,2024-02-02,2024-12-20,New,Critical
CUS0000136,1,Month-to-Month,Fiber Optic,Electronic Check,114.98,114.6,1,1,1,0,0,1,1,4.4,2024-12-02,2024-12-24,New,Critical
CUS0000137,0,One Year,DSL,Mailed Check,57.96,0.0,1,0,1,0,1,1,0,6.0,2025-01-01,2024-12-30,New,High
CUS0000138,6,Two Year,DSL,Bank Transfer (Automatic),48.07,279.63,0,1,0,0,0,1,0,8.5,2024-07-03,2024-12-26,New,Medium
CUS0000139,6,Month-to-Month,Fiber Optic,Electronic Check,126.37,734.18,0,0,1,0,1,0,0,8.0,2024-07-03,2024-12-03,New,Critical
CUS0000140,7,Two Year,Fiber Optic,Mailed Check,126.74,866.02,0,0,1,0,0,0,1,5.5,2024-06-02,2024-12-02,New,High
CUS0000141,4,Month-to-Month,No Internet,Credit Card (Automatic),60.5,237.23,1,1,1,0,1,1,0,5.8,2024-09-02,2024-12-14,New,High
CUS0000142,2,One Year,DSL,Electronic Check,58.35,113.74,0,0,1,0,0,1,1,7.0,2024-11-02,2024-12-04,New,High
CUS0000143,11,One Year,DSL,Bank Transfer (Automatic),71.81,787.6,1,1,0,0,1,1,1,6.6,2024-02-02,2024-12-10,New,Medium
CUS0000144,7,One Year,Fiber Optic,Mailed Check,108.18,720.78,0,0,1,1,0,1,0,9.9,2024-06-02,2024-12-22,New,High
CUS0000145,5,Month-to-Month,Fiber Optic,Mailed Check,70.63,338.58,0,0,0,0,0,1,1,4.2,2024-08-02,2024-12-26,New,High
CUS0000146,10,Month-to-Month,Fiber Optic,Electronic Check,85.72,876.86,1,0,1,0,1,1,1,6.8,2024-03-03,2024-12-12,New,Critical
CUS0000147,2,Month-to-Month,DSL,Electronic Check,45.75,90.7,0,1,0,1,0,1,0,6.9,2024-11-02,2024-12-17,New,High
CUS0000148,0,Month-to-Month,DSL,Electronic Check,79.3,0.0,0,1,1,0,0,0,0,5.4,2025-01-01,2024-12-20,New,Critical
CUS0000149,2,Month-to-Month,Fiber Optic,Bank Transfer (Automatic),98.63,187.6,1,1,0,0,1,1,0,6.2,2024-11-02,2024-12-04,New,High
CUS0000150,4,Month-to-Month,Fiber Optic,Credit Card (Automatic),86.62,339.49,0,1,0,0,1,0,1,5.6,2024-09-02,2024-12-03,New,Critical
CUS0000151,2,Month-to-Month,Fiber Optic,Electronic Check,101.86,210.26,0,0,1,1,0,0,0,6.1,2024-11-02,2024-12-12,New,Critical
CUS0000152,0,Month-to-Month,DSL,Credit Card (Automatic),48.05,0.0,1,0,0,0,1,0,0,6.4,2025-01-01,2024-12-18,New,High
CUS0000153,4,One Year,Fiber Optic,Credit Card (Automatic),84.41,353.3,1,0,1,0,1,0,0,8.5,2024-09-02,2024-12-28,New,High
CUS0000154,9,Two Year,DSL,Credit Card (Automatic),69.95,622.62,1,0,1,0,0,0,0,8.8,2024-04-03,2024-12-24,New,Medium
CUS0000155,6,Two Year,DSL,Mailed Check,75.3,450.18,0,0,0,0,0,0,0,6.1,2024-07-03,2024-12-28,New,Medium
CUS0000156,6,Month-to-Month,No Internet,Bank Transfer (Automatic),35.49,219.37,1,0,1,1,1,1,0,10.0,2024-07-03,2024-12-25,New,High
CUS0000157,10,One Year,DSL,Electronic Check,68.1,713.89,0,1,1,0,0,0,0,8.8,2024-03-03,2024-12-09,New,High
CUS0000158,8,Two Year,Fiber Optic,Credit Card (Automatic),110.98,876.44,1,0,1,0,1,1,0,3.3,2024-05-03,2024-12-15,New,High
CUS0000159,9,Month-to-Month,DSL,Credit Card (Automatic),58.8,509.09,0,1,1,1,0,0,0,8.0,2024-04-03,2024-12-15,New,High
CUS0000160,9,Month-to-Month,DSL,Electronic Check,80.46,725.81,0,1,0,1,0,1,1,7.3,2024-04-03,2024-12-24,New,Critical
CUS0000161,11,Two Year,Fiber Optic,Credit Card (Automatic),81.95,909.72,1,0,0,0,0,1,0,6.1,2024-02-02,2024-12-09,New,High
CUS0000162,12,Month-to-Month,DSL,Electronic Check,59.55,747.43,1,0,1,0,0,0,1,6.7,2024-01-02,2024-12-14,New,High
CUS0000163,2,Month-to-Month,No Internet,Electronic Check,47.28,93.75,0,0,0,1,0,1,1,8.6,2024-11-02,2024-12-19,New,Critical
CUS0000164,6,Month-to-Month,Fiber Optic,Electronic Check,97.57,561.47,0,1,0,1,0,1,1,4.8,2024-07-03,2024-12-04,New,Critical
CUS0000165,0,Month-to-Month,DSL,Mailed Check,82.34,0.0,1,0,1,1,1,1,1,5.7,2025-01-01,2024-12-14,New,High
CUS0000166,3,Two Year,No Internet,Bank Transfer (Automatic),40.43,115.48,0,1,0,0,0,1,1,2.3,2024-10-02,2024-12-20,New,Medium
CUS0000167,12,One Year,DSL,Electronic Check,43.27,515.37,0,1,0,0,1,0,0,8.0,2024-01-02,2024-12-21,New,High
CUS0000168,3,Month-to-Month,DSL,Mailed Check,67.74,201.38,0,1,1,0,1,1,1,7.3,2024-10-02,2024-12-25,New,High
CUS0000169,4,Month-to-Month,Fiber Optic,Credit Card (Automatic),76.71,299.32,0,1,1,0,0,0,1,7.4,2024-09-02,2024-12-28,New,High
CUS0000170,6,One Year,Fiber Optic,Credit Card (Automatic),82.67,519.05,0,0,0,1,1,0,1,2.2,2024-07-03,2024-12-16,New,High
CUS0000171,6,One Year,DSL,Electronic Check,71.91,427.29,1,1,0,0,1,1,0,9.5,2024-07-03,2024-12-17,New,High
CUS0000172,12,Month-to-Month,DSL,Electronic Check,51.56,643.14,0,1,0,0,1,1,0,8.2,2024-01-02,2024-12-30,New,High
CUS0000173,10,Two Year,No Internet,Bank Transfer (Automatic),59.49,595.8,0,1,0,0,0,1,0,8.3,2024-03-03,2024-12-08,New,Medium
CUS0000174,12,Month-to-Month,Fiber Optic,Credit Card (Automatic),116.83,1446.9,0,1,0,1,1,1,1,6.8,2024-01-02,2024-12-31,New,High
CUS0000175,3,Month-to-Month,DSL,Credit Card (Automatic),78.59,234.62,0,1,0,0,1,1,0,7.4,2024-10-02,2024-12-05,New,High
CUS0000176,12,One Year,Fiber Optic,Credit Card (Automatic),112.35,1414.47,0,1,0,0,1,1,0,7.0,2024-01-02,2024-12-29,New,High
CUS0000177,6,Month-to-Month,Fiber Optic,Credit Card (Automatic),83.91,510.51,1,1,1,1,1,0,0,10.0,2024-07-03,2024-12-28,New,High
CUS0000178,10,Two Year,Fiber Optic,Electronic Check,110.06,1062.73,0,1,1,0,0,1,1,2.9,2024-03-03,2024-12-12,New,High
CUS0000179,2,One Year,Fiber Optic,Credit Card (Automatic),89.8,170.74,1,0,0,1,1,1,0,9.8,2024-11-02,2024-12-27,New,High
CUS0000180,5,One Year,Fiber Optic,Bank Transfer (Automatic),130.18,678.82,1,1,0,0,1,0,0,9.5,2024-08-02,2024-12-07,New,High
CUS0000181,11,Month-to-Month,Fiber Optic,Electronic Check,100.47,1125.81,1,0,1,1,0,1,0,6.5,2024-02-02,2024-12-11,New,Critical
CUS0000182,1,Month-to-Month,Fiber Optic,Electronic Check,86.14,82.75,0,0,0,1,0,1,0,4.2,2024-12-02,2024-12-19,New,Critical
